Business,Phone,Presence,Email (Enriched),Search Provider Used,Town,Service,Rating,GoogleMaps Link
Precision Roofing,(413) 930-1126,No website,officemanager@precisionroofinginc.com,Serper,133 White St,roofer,5.0,https://www.google.com/maps/place/?q=place_id:ChIJhZLGPnrn5okRgYR6K-3-7oY
Joanna's housekeeping Services LLC,(541) 556-5678,No website,Barnesjoanna@yahoo.com,Serper,274 S 41st St,cleaning,5.0,https://www.google.com/maps/place/?q=place_id:ChIJv3ol_IbhwFQRca1cf_lAuUk
"Austin Accounting Services, Inc.",(802) 885-5340,No website,"ellen@vermontbiz.com, cka32706@gmail.com, accounting@premiermove.com, tmccarty@torchmarkcorp.com",Serper,368 River St,accountant,5.0,https://www.google.com/maps/place/?q=place_id:ChIJKZbiMay54YkRAurzSOEnABg
Copeland Accounting & Tax Services,(417) 887-9107,No website,susan@copelandaccounting.com,Serper,5335 S Campbell Ave,accountant,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ4dlt3ZB8z4cRCRGdIggtUrw
O K Corral Hair Shaping Salon,(217) 544-2210,No website,"info@502.com, contact@502.com, o@502.com",Pattern Generator,502 W Carpenter St,barber,5.0,https://www.google.com/maps/place/?q=place_id:ChIJqd9w6tI5dYgRbnfhVjFOvFE
Family Guys Handyman Llc,(253) 228-6445,No website,"info@3201.com, contact@3201.com, family@3201.com",Pattern Generator,3201 E R St,handyman,5.0,https://www.google.com/maps/place/?q=place_id:ChIJwYm2LmsDkVQRXVn5v7GsVcM
Electrician Springfield VA,(571) 462-2370,No website,info@apexelectromechs.com,Serper,8016 Sleepy View Ln,electrician,5.0,https://www.google.com/maps/place/?q=place_id:ChIJby_LiuVTtokR8wjwJBoBEPk
Certified Appliance Repair,(417) 890-5679,No website,"info@2300.com, contact@2300.com, certified@2300.com",Pattern Generator,2300 W Farm Rd 182,appliance,5.0,https://www.google.com/maps/place/?q=place_id:ChIJVWaSk4Blz4cRsRfnBRWCdFo
"Star Lawns,LLC",(601) 447-2355,No website,"info@5035.com, contact@5035.com, star@5035.com",Pattern Generator,5035 W 4th St,landscaper,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ1aq1YcnfnIgR_oMXLvQFJHs
Pioneer Valley Electric,(413) 732-2475,No website,pioneervalleyelectric@gmail.com,Serper,128 Federal St,electrician,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ1VhrmRrn5okRVTk8KBOGzWk
